bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
ROOT,ROOT,0,ROOT,ROOT,all,7043,984,421,,False,False,ROOT
L1_Contract=month_to_month,ROOT,1,L1_Contract,categorical_group,month_to_month,3875,539,256,,False,False,L1_Contract=month_to_month
L1_Contract=one_year,ROOT,1,L1_Contract,categorical_group,one_year,1473,206,163,,False,False,L1_Contract=one_year
L1_Contract=two_year,ROOT,1,L1_Contract,categorical_group,two_year,1695,273,135,,False,False,L1_Contract=two_year
L1_Contract=month_to_month|L2_tenure=long_term,L1_Contract=month_to_month,2,L2_tenure,numeric_bin,long_term,108,79,29,,False,False,L1_Contract=month_to_month|L2_tenure=long_term
L1_Contract=month_to_month|L2_tenure=mid_term,L1_Contract=month_to_month,2,L2_tenure,numeric_bin,mid_term,1036,173,77,,False,False,L1_Contract=month_to_month|L2_tenure=mid_term
L1_Contract=month_to_month|L2_tenure=new,L1_Contract=month_to_month,2,L2_tenure,numeric_bin,new,1994,281,115,,False,False,L1_Contract=month_to_month|L2_tenure=new
L1_Contract=month_to_month|L2_tenure=short_term,L1_Contract=month_to_month,2,L2_tenure,numeric_bin,short_term,737,146,64,,False,False,L1_Contract=month_to_month|L2_tenure=short_term
L1_Contract=one_year|L2_tenure=long_term,L1_Contract=one_year,2,L2_tenure,numeric_bin,long_term,313,106,87,,False,False,L1_Contract=one_year|L2_tenure=long_term
L1_Contract=one_year|L2_tenure=mid_term,L1_Contract=one_year,2,L2_tenure,numeric_bin,mid_term,839,115,91,,False,False,L1_Contract=one_year|L2_tenure=mid_term
L1_Contract=one_year|L2_tenure=new,L1_Contract=one_year,2,L2_tenure,numeric_bin,new,124,81,43,,False,False,L1_Contract=one_year|L2_tenure=new
L1_Contract=one_year|L2_tenure=short_term,L1_Contract=one_year,2,L2_tenure,numeric_bin,short_term,197,88,52,,False,False,L1_Contract=one_year|L2_tenure=short_term
L1_Contract=two_year|L2_tenure=long_term,L1_Contract=two_year,2,L2_tenure,numeric_bin,long_term,986,138,57,,False,False,L1_Contract=two_year|L2_tenure=long_term
L1_Contract=two_year|L2_tenure=mid_term,L1_Contract=two_year,2,L2_tenure,numeric_bin,mid_term,551,124,103,,False,False,L1_Contract=two_year|L2_tenure=mid_term
L1_Contract=two_year|L2_tenure=new,L1_Contract=two_year,2,L2_tenure,numeric_bin,new,68,46,22,,True,False,L1_Contract=two_year|L2_tenure=new
L1_Contract=two_year|L2_tenure=short_term,L1_Contract=two_year,2,L2_tenure,numeric_bin,short_term,90,68,22,,False,False,L1_Contract=two_year|L2_tenure=short_term
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=fiber,L1_Contract=month_to_month|L2_tenure=long_term,3,L3_InternetService,categorical_group,fiber,92,68,24,,True,False,L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=fiber
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=others,L1_Contract=month_to_month|L2_tenure=long_term,3,L3_InternetService,categorical_group,others,16,11,5,,True,False,L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=others
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=dsl,L1_Contract=month_to_month|L2_tenure=mid_term,3,L3_InternetService,categorical_group,dsl,286,190,96,,True,False,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=dsl
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=fiber,L1_Contract=month_to_month|L2_tenure=mid_term,3,L3_InternetService,categorical_group,fiber,695,494,201,,True,False,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=fiber
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=others,L1_Contract=month_to_month|L2_tenure=mid_term,3,L3_InternetService,categorical_group,others,55,37,18,,True,False,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=others
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=dsl,L1_Contract=month_to_month|L2_tenure=new,3,L3_InternetService,categorical_group,dsl,690,491,199,,True,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=dsl
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,L1_Contract=month_to_month|L2_tenure=new,3,L3_InternetService,categorical_group,fiber,916,649,267,,True,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=no_internet,L1_Contract=month_to_month|L2_tenure=new,3,L3_InternetService,categorical_group,no_internet,388,270,118,,True,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=no_internet
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=dsl,L1_Contract=month_to_month|L2_tenure=short_term,3,L3_InternetService,categorical_group,dsl,232,151,81,,True,False,L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=dsl
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber,L1_Contract=month_to_month|L2_tenure=short_term,3,L3_InternetService,categorical_group,fiber,425,283,142,,True,False,L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=no_internet,L1_Contract=month_to_month|L2_tenure=short_term,3,L3_InternetService,categorical_group,no_internet,80,60,20,,True,False,L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=no_internet
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=dsl,L1_Contract=one_year|L2_tenure=long_term,3,L3_InternetService,categorical_group,dsl,86,59,27,,True,False,L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=dsl
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=fiber,L1_Contract=one_year|L2_tenure=long_term,3,L3_InternetService,categorical_group,fiber,200,150,50,,True,False,L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=fiber
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=others,L1_Contract=one_year|L2_tenure=long_term,3,L3_InternetService,categorical_group,others,27,17,10,,True,False,L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=others
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=dsl,L1_Contract=one_year|L2_tenure=mid_term,3,L3_InternetService,categorical_group,dsl,363,248,115,,True,False,L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=dsl
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=fiber,L1_Contract=one_year|L2_tenure=mid_term,3,L3_InternetService,categorical_group,fiber,309,217,92,,True,False,L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=fiber
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=no_internet,L1_Contract=one_year|L2_tenure=mid_term,3,L3_InternetService,categorical_group,no_internet,167,117,50,,True,False,L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=no_internet
L1_Contract=one_year|L2_tenure=new|L3_InternetService=no_internet,L1_Contract=one_year|L2_tenure=new,3,L3_InternetService,categorical_group,no_internet,75,49,26,,True,False,L1_Contract=one_year|L2_tenure=new|L3_InternetService=no_internet
L1_Contract=one_year|L2_tenure=new|L3_InternetService=others,L1_Contract=one_year|L2_tenure=new,3,L3_InternetService,categorical_group,others,49,32,17,,True,False,L1_Contract=one_year|L2_tenure=new|L3_InternetService=others
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=dsl,L1_Contract=one_year|L2_tenure=short_term,3,L3_InternetService,categorical_group,dsl,79,59,20,,True,False,L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=dsl
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=no_internet,L1_Contract=one_year|L2_tenure=short_term,3,L3_InternetService,categorical_group,no_internet,95,71,24,,True,False,L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=no_internet
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=others,L1_Contract=one_year|L2_tenure=short_term,3,L3_InternetService,categorical_group,others,23,15,8,,True,False,L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=others
L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=dsl,L1_Contract=two_year|L2_tenure=long_term,3,L3_InternetService,categorical_group,dsl,402,290,112,,True,False,L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=dsl
L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=fiber,L1_Contract=two_year|L2_tenure=long_term,3,L3_InternetService,categorical_group,fiber,336,237,99,,True,False,L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=fiber
L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=no_internet,L1_Contract=two_year|L2_tenure=long_term,3,L3_InternetService,categorical_group,no_internet,248,167,81,,True,False,L1_Contract=two_year|L2_tenure=long_term|L3_InternetService=no_internet
L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=dsl,L1_Contract=two_year|L2_tenure=mid_term,3,L3_InternetService,categorical_group,dsl,183,128,55,,True,False,L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=dsl
L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=fiber,L1_Contract=two_year|L2_tenure=mid_term,3,L3_InternetService,categorical_group,fiber,92,60,32,,True,False,L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=fiber
L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=no_internet,L1_Contract=two_year|L2_tenure=mid_term,3,L3_InternetService,categorical_group,no_internet,276,196,80,,True,False,L1_Contract=two_year|L2_tenure=mid_term|L3_InternetService=no_internet
L1_Contract=two_year|L2_tenure=short_term|L3_InternetService=no_internet,L1_Contract=two_year|L2_tenure=short_term,3,L3_InternetService,categorical_group,no_internet,64,48,16,,True,False,L1_Contract=two_year|L2_tenure=short_term|L3_InternetService=no_internet
L1_Contract=two_year|L2_tenure=short_term|L3_InternetService=others,L1_Contract=two_year|L2_tenure=short_term,3,L3_InternetService,categorical_group,others,26,20,6,,True,False,L1_Contract=two_year|L2_tenure=short_term|L3_InternetService=others
