bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home,3,294,294,0,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=others,3,178,178,0,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=others,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Expired,3,252,252,0,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Expired,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,3,4965,4965,0,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,3,909,909,0,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer,3,3819,3819,0,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=others,3,88,88,0,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=others,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Home,3,211,211,0,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Home,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Transfer,3,215,215,0,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Transfer,0
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=others,3,46,46,0,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=others,0
