bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=fiber,3,21,0,21,L1_Contract=month_to_month|L2_tenure=long_term,True,ROOT,0
ROOT,0,0,247,0,ROOT,False,ROOT,247
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=others,3,3,0,3,L1_Contract=month_to_month|L2_tenure=long_term,True,ROOT,0
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=dsl,3,71,0,71,L1_Contract=month_to_month|L2_tenure=mid_term,True,L1_Contract=month_to_month|L2_tenure=mid_term,0
L1_Contract=month_to_month|L2_tenure=mid_term,2,0,205,0,L1_Contract=month_to_month,False,L1_Contract=month_to_month|L2_tenure=mid_term,205
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=fiber,3,128,0,128,L1_Contract=month_to_month|L2_tenure=mid_term,True,L1_Contract=month_to_month|L2_tenure=mid_term,0
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=others,3,6,0,6,L1_Contract=month_to_month|L2_tenure=mid_term,True,L1_Contract=month_to_month|L2_tenure=mid_term,0
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=OTHER,3,87,0,87,L1_Contract=month_to_month|L2_tenure=new,True,L1_Contract=month_to_month|L2_tenure=new,0
L1_Contract=month_to_month|L2_tenure=new,2,0,229,0,L1_Contract=month_to_month,False,L1_Contract=month_to_month|L2_tenure=new,229
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=dsl,3,142,0,142,L1_Contract=month_to_month|L2_tenure=new,True,L1_Contract=month_to_month|L2_tenure=new,0
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,3,180,180,0,L1_Contract=month_to_month|L2_tenure=new,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,0
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=OTHER,3,20,0,20,L1_Contract=month_to_month|L2_tenure=short_term,True,ROOT,0
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=dsl,3,49,0,49,L1_Contract=month_to_month|L2_tenure=short_term,True,ROOT,0
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber,3,84,84,0,L1_Contract=month_to_month|L2_tenure=short_term,False,L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber,0
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=dsl,3,15,0,15,L1_Contract=one_year|L2_tenure=long_term,True,ROOT,0
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=fiber,3,38,0,38,L1_Contract=one_year|L2_tenure=long_term,True,ROOT,0
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=others,3,5,0,5,L1_Contract=one_year|L2_tenure=long_term,True,ROOT,0
