bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
ROOT,ROOT,0,ROOT,ROOT,all,12330,1779,753,,False,False,ROOT
L1_VisitorType=new,ROOT,1,L1_VisitorType,categorical_group,new,1694,252,109,,False,False,L1_VisitorType=new
L1_VisitorType=others,ROOT,1,L1_VisitorType,categorical_group,others,85,67,18,,True,True,ROOT
L1_VisitorType=returning,ROOT,1,L1_VisitorType,categorical_group,returning,10551,1473,633,,False,True,ROOT
L1_VisitorType=new|L2_Month=high_season,L1_VisitorType=new,2,L2_Month,categorical_group,high_season,754,104,133,,False,True,L1_VisitorType=new
L1_VisitorType=new|L2_Month=low_season,L1_VisitorType=new,2,L2_Month,categorical_group,low_season,465,65,135,,False,False,L1_VisitorType=new|L2_Month=low_season
L1_VisitorType=new|L2_Month=mid_season,L1_VisitorType=new,2,L2_Month,categorical_group,mid_season,445,62,133,,False,False,L1_VisitorType=new|L2_Month=mid_season
L1_VisitorType=new|L2_Month=others,L1_VisitorType=new,2,L2_Month,categorical_group,others,30,19,11,,True,True,L1_VisitorType=new
L1_VisitorType=returning|L2_Month=high_season,L1_VisitorType=returning,2,L2_Month,categorical_group,high_season,3887,535,240,,False,True,ROOT
L1_VisitorType=returning|L2_Month=low_season,L1_VisitorType=returning,2,L2_Month,categorical_group,low_season,2623,369,153,,False,False,L1_VisitorType=returning|L2_Month=low_season
L1_VisitorType=returning|L2_Month=mid_season,L1_VisitorType=returning,2,L2_Month,categorical_group,mid_season,3784,533,221,,False,True,ROOT
L1_VisitorType=returning|L2_Month=others,L1_VisitorType=returning,2,L2_Month,categorical_group,others,257,170,87,,True,True,ROOT
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_1_2,356,242,114,,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_3_4,206,138,68,,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_5_plus,192,149,43,,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_1_2,232,159,73,,True,False,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_3_4,119,86,33,,True,True,L1_VisitorType=new|L2_Month=low_season
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_5_plus,114,85,29,,True,True,L1_VisitorType=new|L2_Month=low_season
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_1_2,206,136,70,,True,False,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_3_4,121,91,30,,True,True,L1_VisitorType=new|L2_Month=mid_season
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=mid_season,3,L3_Region,categorical_group,region_5_plus,118,85,33,,True,True,L1_VisitorType=new|L2_Month=mid_season
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_1_2,1922,1325,597,,True,True,ROOT
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_3_4,1145,791,354,,True,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=high_season,3,L3_Region,categorical_group,region_5_plus,820,562,258,,True,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_1_2,1300,904,396,,True,True,L1_VisitorType=returning|L2_Month=low_season
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_3_4,738,537,201,,True,True,L1_VisitorType=returning|L2_Month=low_season
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,L1_VisitorType=returning|L2_Month=low_season,3,L3_Region,categorical_group,region_5_plus,585,413,172,,True,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus
