fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,ROOT,ROOT,0,ROOT,ROOT,all,9864,1420,605,,False,False,ROOT
1,L1_VisitorType=new,ROOT,1,L1_VisitorType,categorical_group,new,1373,204,87,,False,False,L1_VisitorType=new
1,L1_VisitorType=returning,ROOT,1,L1_VisitorType,categorical_group,returning,8424,1178,556,,False,False,L1_VisitorType=returning
1,L1_VisitorType=others,ROOT,1,L1_VisitorType,categorical_group,others,67,49,18,18.0,True,True,ROOT
1,L1_VisitorType=new|L2_Month=high_season,L1_VisitorType=new,2,L2_Month,categorical_group,high_season,603,85,103,,False,True,L1_VisitorType=new
1,L1_VisitorType=new|L2_Month=low_season,L1_VisitorType=new,2,L2_Month,categorical_group,low_season,390,162,128,,False,False,L1_VisitorType=new|L2_Month=low_season
1,L1_VisitorType=new|L2_Month=mid_season,L1_VisitorType=new,2,L2_Month,categorical_group,mid_season,355,146,109,,False,False,L1_VisitorType=new|L2_Month=mid_season
1,L1_VisitorType=new|L2_Month=others,L1_VisitorType=new,2,L2_Month,categorical_group,others,25,18,7,5.0,True,True,L1_VisitorType=new
1,L1_VisitorType=returning|L2_Month=high_season,L1_VisitorType=returning,2,L2_Month,categorical_group,high_season,3127,442,181,,False,True,L1_VisitorType=returning
1,L1_VisitorType=returning|L2_Month=low_season,L1_VisitorType=returning,2,L2_Month,categorical_group,low_season,2091,296,121,,False,False,L1_VisitorType=returning|L2_Month=low_season
1,L1_VisitorType=returning|L2_Month=mid_season,L1_VisitorType=returning,2,L2_Month,categorical_group,mid_season,3001,411,187,,False,False,L1_VisitorType=returning|L2_Month=mid_season
1,L1_VisitorType=returning|L2_Month=others,L1_VisitorType=returning,2,L2_Month,categorical_group,others,205,139,66,52.0,True,True,L1_VisitorType=returning
1,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_1_2,283,195,88,73.0,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2
1,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_3_4,168,124,44,38.0,True,True,L1_VisitorType=new
1,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=high_season,3,L3_Region,categorical_group,region_5_plus,152,110,42,40.0,True,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus
1,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_1_2,196,125,71,36.0,True,False,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2
1,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_3_4,94,66,28,25.0,True,True,L1_VisitorType=new|L2_Month=low_season
1,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,L1_VisitorType=new|L2_Month=low_season,3,L3_Region,categorical_group,region_5_plus,100,71,29,14.0,True,True,L1_VisitorType=new|L2_Month=low_season
