fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,ROOT,ROOT,0,ROOT,ROOT,all,5634,788,337,,False,False,ROOT
1,L1_Contract=month_to_month,ROOT,1,L1_Contract,categorical_group,month_to_month,3108,434,198,,False,True,ROOT
1,L1_Contract=one_year,ROOT,1,L1_Contract,categorical_group,one_year,1182,165,126,,False,True,ROOT
1,L1_Contract=two_year,ROOT,1,L1_Contract,categorical_group,two_year,1344,252,111,,False,True,ROOT
1,L1_Contract=month_to_month|L2_tenure=long_term,L1_Contract=month_to_month,2,L2_tenure,numeric_bin,long_term,91,74,17,,False,True,ROOT
1,L1_Contract=month_to_month|L2_tenure=mid_term,L1_Contract=month_to_month,2,L2_tenure,numeric_bin,mid_term,826,141,56,,False,True,ROOT
1,L1_Contract=month_to_month|L2_tenure=new,L1_Contract=month_to_month,2,L2_tenure,numeric_bin,new,1613,224,96,,False,False,L1_Contract=month_to_month|L2_tenure=new
1,L1_Contract=month_to_month|L2_tenure=short_term,L1_Contract=month_to_month,2,L2_tenure,numeric_bin,short_term,578,117,97,,False,True,ROOT
1,L1_Contract=one_year|L2_tenure=long_term,L1_Contract=one_year,2,L2_tenure,numeric_bin,long_term,255,89,78,,False,False,L1_Contract=one_year|L2_tenure=long_term
1,L1_Contract=one_year|L2_tenure=mid_term,L1_Contract=one_year,2,L2_tenure,numeric_bin,mid_term,669,94,64,,False,False,L1_Contract=one_year|L2_tenure=mid_term
1,L1_Contract=one_year|L2_tenure=new,L1_Contract=one_year,2,L2_tenure,numeric_bin,new,99,68,31,,False,False,L1_Contract=one_year|L2_tenure=new
1,L1_Contract=one_year|L2_tenure=short_term,L1_Contract=one_year,2,L2_tenure,numeric_bin,short_term,159,118,41,,False,False,L1_Contract=one_year|L2_tenure=short_term
1,L1_Contract=two_year|L2_tenure=long_term,L1_Contract=two_year,2,L2_tenure,numeric_bin,long_term,778,107,236,,False,False,L1_Contract=two_year|L2_tenure=long_term
1,L1_Contract=two_year|L2_tenure=mid_term,L1_Contract=two_year,2,L2_tenure,numeric_bin,mid_term,447,98,84,,False,False,L1_Contract=two_year|L2_tenure=mid_term
1,L1_Contract=two_year|L2_tenure=short_term,L1_Contract=two_year,2,L2_tenure,numeric_bin,short_term,67,46,21,23.0,True,True,ROOT
1,L1_Contract=two_year|L2_tenure=others,L1_Contract=two_year,2,L2_tenure,numeric_bin,others,52,38,14,16.0,True,True,ROOT
1,L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=fiber,L1_Contract=month_to_month|L2_tenure=long_term,3,L3_InternetService,categorical_group,fiber,77,64,13,15.0,True,True,ROOT
1,L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=others,L1_Contract=month_to_month|L2_tenure=long_term,3,L3_InternetService,categorical_group,others,14,10,4,2.0,True,True,ROOT
1,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=dsl,L1_Contract=month_to_month|L2_tenure=mid_term,3,L3_InternetService,categorical_group,dsl,223,148,75,63.0,True,False,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=dsl
1,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=fiber,L1_Contract=month_to_month|L2_tenure=mid_term,3,L3_InternetService,categorical_group,fiber,562,402,160,133.0,True,False,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=fiber
1,L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=others,L1_Contract=month_to_month|L2_tenure=mid_term,3,L3_InternetService,categorical_group,others,41,32,9,14.0,True,True,ROOT
1,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=dsl,L1_Contract=month_to_month|L2_tenure=new,3,L3_InternetService,categorical_group,dsl,568,402,166,122.0,True,True,L1_Contract=month_to_month|L2_tenure=new
1,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,L1_Contract=month_to_month|L2_tenure=new,3,L3_InternetService,categorical_group,fiber,730,508,222,186.0,True,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber
1,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=no_internet,L1_Contract=month_to_month|L2_tenure=new,3,L3_InternetService,categorical_group,no_internet,315,218,97,73.0,True,True,L1_Contract=month_to_month|L2_tenure=new
1,L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=dsl,L1_Contract=month_to_month|L2_tenure=short_term,3,L3_InternetService,categorical_group,dsl,172,115,57,60.0,True,True,ROOT
