bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,3,356,356,0,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,3,206,206,0,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,3,192,192,0,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,3,232,232,0,0,L1_VisitorType=new|L2_Month=low_season,False,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,3,119,0,119,0,L1_VisitorType=new|L2_Month=low_season,True,L1_VisitorType=new|L2_Month=low_season
L1_VisitorType=new|L2_Month=low_season,2,0,233,0,233,L1_VisitorType=new,False,L1_VisitorType=new|L2_Month=low_season
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,3,114,0,114,0,L1_VisitorType=new|L2_Month=low_season,True,L1_VisitorType=new|L2_Month=low_season
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,3,206,206,0,0,L1_VisitorType=new|L2_Month=mid_season,False,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,3,121,0,121,0,L1_VisitorType=new|L2_Month=mid_season,True,L1_VisitorType=new|L2_Month=mid_season
L1_VisitorType=new|L2_Month=mid_season,2,0,239,0,239,L1_VisitorType=new,False,L1_VisitorType=new|L2_Month=mid_season
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,3,118,0,118,0,L1_VisitorType=new|L2_Month=mid_season,True,L1_VisitorType=new|L2_Month=mid_season
L1_VisitorType=new|L2_Month=others,2,30,0,30,0,L1_VisitorType=new,True,L1_VisitorType=new
L1_VisitorType=new,1,0,30,0,30,ROOT,False,L1_VisitorType=new
L1_VisitorType=others,1,85,0,85,0,ROOT,True,ROOT
ROOT,0,0,2264,0,2264,ROOT,False,ROOT
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,3,1922,0,1922,0,L1_VisitorType=returning|L2_Month=high_season,True,ROOT
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,3,1145,1145,0,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,3,820,820,0,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,3,1300,0,1300,0,L1_VisitorType=returning|L2_Month=low_season,True,L1_VisitorType=returning|L2_Month=low_season
L1_VisitorType=returning|L2_Month=low_season,2,0,2038,0,2038,L1_VisitorType=returning,False,L1_VisitorType=returning|L2_Month=low_season
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,3,738,0,738,0,L1_VisitorType=returning|L2_Month=low_season,True,L1_VisitorType=returning|L2_Month=low_season
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,3,585,585,0,0,L1_VisitorType=returning|L2_Month=low_season,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,3,1749,1749,0,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,3,1164,1164,0,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,3,871,871,0,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus
L1_VisitorType=returning|L2_Month=others,2,257,0,257,0,L1_VisitorType=returning,True,ROOT
