bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
ROOT,ROOT,0,ROOT,ROOT,all,101766,14245,6104,,False,False,ROOT
L1_number_inpatient=few_prev_inpt,ROOT,1,L1_number_inpatient,numeric_bin,few_prev_inpt,10977,1510,914,,False,False,L1_number_inpatient=few_prev_inpt
L1_number_inpatient=many_prev_inpt,ROOT,1,L1_number_inpatient,numeric_bin,many_prev_inpt,3638,513,409,,False,False,L1_number_inpatient=many_prev_inpt
L1_number_inpatient=no_prev_inpt,ROOT,1,L1_number_inpatient,numeric_bin,no_prev_inpt,87151,12221,5207,,False,False,L1_number_inpatient=no_prev_inpt
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,L1_number_inpatient=few_prev_inpt,2,L2_number_emergency,numeric_bin,multi_prev_er,472,164,143,,False,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,L1_number_inpatient=few_prev_inpt,2,L2_number_emergency,numeric_bin,no_prev_er,10033,1577,699,,False,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,L1_number_inpatient=few_prev_inpt,2,L2_number_emergency,numeric_bin,one_prev_er,472,327,145,,False,False,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er
L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,L1_number_inpatient=many_prev_inpt,2,L2_number_emergency,numeric_bin,multi_prev_er,534,184,143,,False,False,L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er,L1_number_inpatient=many_prev_inpt,2,L2_number_emergency,numeric_bin,no_prev_er,2791,567,243,,False,False,L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er
L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er,L1_number_inpatient=many_prev_inpt,2,L2_number_emergency,numeric_bin,one_prev_er,313,212,101,,True,False,L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er
