bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=fiber,3,92,0,92,L1_Contract=month_to_month|L2_tenure=long_term,True,L1_Contract=month_to_month|L2_tenure=long_term,0
L1_Contract=month_to_month|L2_tenure=long_term,2,0,108,0,L1_Contract=month_to_month,False,L1_Contract=month_to_month|L2_tenure=long_term,108
L1_Contract=month_to_month|L2_tenure=long_term|L3_InternetService=others,3,16,0,16,L1_Contract=month_to_month|L2_tenure=long_term,True,L1_Contract=month_to_month|L2_tenure=long_term,0
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=dsl,3,286,0,286,L1_Contract=month_to_month|L2_tenure=mid_term,True,L1_Contract=month_to_month|L2_tenure=mid_term,0
L1_Contract=month_to_month|L2_tenure=mid_term,2,0,1036,0,L1_Contract=month_to_month,False,L1_Contract=month_to_month|L2_tenure=mid_term,1036
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=fiber,3,695,0,695,L1_Contract=month_to_month|L2_tenure=mid_term,True,L1_Contract=month_to_month|L2_tenure=mid_term,0
L1_Contract=month_to_month|L2_tenure=mid_term|L3_InternetService=others,3,55,0,55,L1_Contract=month_to_month|L2_tenure=mid_term,True,L1_Contract=month_to_month|L2_tenure=mid_term,0
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=dsl,3,690,0,690,L1_Contract=month_to_month|L2_tenure=new,True,L1_Contract=month_to_month|L2_tenure=new,0
L1_Contract=month_to_month|L2_tenure=new,2,0,1078,0,L1_Contract=month_to_month,False,L1_Contract=month_to_month|L2_tenure=new,1078
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,3,916,916,0,L1_Contract=month_to_month|L2_tenure=new,False,L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=fiber,0
L1_Contract=month_to_month|L2_tenure=new|L3_InternetService=no_internet,3,388,0,388,L1_Contract=month_to_month|L2_tenure=new,True,L1_Contract=month_to_month|L2_tenure=new,0
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=dsl,3,232,0,232,L1_Contract=month_to_month|L2_tenure=short_term,True,L1_Contract=month_to_month|L2_tenure=short_term,0
L1_Contract=month_to_month|L2_tenure=short_term,2,0,312,0,L1_Contract=month_to_month,False,L1_Contract=month_to_month|L2_tenure=short_term,312
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber,3,425,425,0,L1_Contract=month_to_month|L2_tenure=short_term,False,L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=fiber,0
L1_Contract=month_to_month|L2_tenure=short_term|L3_InternetService=no_internet,3,80,0,80,L1_Contract=month_to_month|L2_tenure=short_term,True,L1_Contract=month_to_month|L2_tenure=short_term,0
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=dsl,3,86,0,86,L1_Contract=one_year|L2_tenure=long_term,True,ROOT,0
ROOT,0,0,1549,0,ROOT,False,ROOT,1549
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=fiber,3,200,0,200,L1_Contract=one_year|L2_tenure=long_term,True,ROOT,0
L1_Contract=one_year|L2_tenure=long_term|L3_InternetService=others,3,27,0,27,L1_Contract=one_year|L2_tenure=long_term,True,ROOT,0
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=dsl,3,363,0,363,L1_Contract=one_year|L2_tenure=mid_term,True,L1_Contract=one_year|L2_tenure=mid_term,0
L1_Contract=one_year|L2_tenure=mid_term,2,0,839,0,L1_Contract=one_year,False,L1_Contract=one_year|L2_tenure=mid_term,839
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=fiber,3,309,0,309,L1_Contract=one_year|L2_tenure=mid_term,True,L1_Contract=one_year|L2_tenure=mid_term,0
L1_Contract=one_year|L2_tenure=mid_term|L3_InternetService=no_internet,3,167,0,167,L1_Contract=one_year|L2_tenure=mid_term,True,L1_Contract=one_year|L2_tenure=mid_term,0
L1_Contract=one_year|L2_tenure=new|L3_InternetService=no_internet,3,75,0,75,L1_Contract=one_year|L2_tenure=new,True,L1_Contract=one_year|L2_tenure=new,0
L1_Contract=one_year|L2_tenure=new,2,0,124,0,L1_Contract=one_year,False,L1_Contract=one_year|L2_tenure=new,124
L1_Contract=one_year|L2_tenure=new|L3_InternetService=others,3,49,0,49,L1_Contract=one_year|L2_tenure=new,True,L1_Contract=one_year|L2_tenure=new,0
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=dsl,3,79,0,79,L1_Contract=one_year|L2_tenure=short_term,True,L1_Contract=one_year|L2_tenure=short_term,0
L1_Contract=one_year|L2_tenure=short_term,2,0,197,0,L1_Contract=one_year,False,L1_Contract=one_year|L2_tenure=short_term,197
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=no_internet,3,95,0,95,L1_Contract=one_year|L2_tenure=short_term,True,L1_Contract=one_year|L2_tenure=short_term,0
L1_Contract=one_year|L2_tenure=short_term|L3_InternetService=others,3,23,0,23,L1_Contract=one_year|L2_tenure=short_term,True,L1_Contract=one_year|L2_tenure=short_term,0
