bucket_id,alpha,beta,threshold_mode,threshold_source_bucket,is_weak
ROOT,0.4,0.2,bucket_wise,ROOT,False
L1_number_inpatient=few_prev_inpt,0.4,0.1,bucket_wise,L1_number_inpatient=few_prev_inpt,False
L1_number_inpatient=many_prev_inpt,0.3,0.1,bucket_wise,L1_number_inpatient=many_prev_inpt,False
L1_number_inpatient=no_prev_inpt,0.5,0.2,bucket_wise,L1_number_inpatient=no_prev_inpt,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,0.6,0.1,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,0.3,0.1,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,0.4,0.2,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er,False
L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,0.3,0.1,bucket_wise,L1_number_inpatient=many_prev_inpt|L2_number_emergency=multi_prev_er,False
L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er,0.4,0.2,bucket_wise,L1_number_inpatient=many_prev_inpt|L2_number_emergency=no_prev_er,False
L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er,0.3,0.0,bucket_wise,L1_number_inpatient=many_prev_inpt|L2_number_emergency=one_prev_er,False
L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er,0.3,0.1,bucket_wise,L1_number_inpatient=no_prev_inpt|L2_number_emergency=multi_prev_er,False
L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,0.5,0.2,bucket_wise,L1_number_inpatient=no_prev_inpt|L2_number_emergency=no_prev_er,False
L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er,0.6,0.5,bucket_wise,L1_number_inpatient=no_prev_inpt|L2_number_emergency=one_prev_er,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home,0.4,0.0,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=Home,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=others,0.4,0.2,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=multi_prev_er|L3_discharge_disposition_id=others,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Expired,1.0,1.0,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Expired,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,0.3,0.1,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Home,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,0.3,0.0,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=OtherDisp,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer,0.4,0.1,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=Transfer,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=others,0.4,0.2,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=no_prev_er|L3_discharge_disposition_id=others,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Home,0.4,0.2,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Home,False
L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Transfer,0.4,0.2,bucket_wise,L1_number_inpatient=few_prev_inpt|L2_number_emergency=one_prev_er|L3_discharge_disposition_id=Transfer,False
